	Playing Time	Starts	Subs	Team Success	
Rk	Player	Nation	Pos	Squad	Age	Born	MP	Min	Mn/MP	Min%	90s	Starts	Mn/Start	Compl	Subs	Mn/Sub	unSub	PPM	onG	onGA	+/-	+/-90	On-Off	Matches
1	Alp Abay		DF	Antalyaspor	20-001	2006	0					0		0	0		1							Matches
2	Myenty Abena	sr SUR	DF	Gaziantep FK	31-151	1994	23	1,836	80	61.8	20.4	20	85	17	3	44	4	1.09	27	40	-13	-0.64	-0.56	Matches
3	Tammy Abraham	eng ENG	FW	Beşiktaş	28-222	1997	18	1,247	69	42.0	13.9	15	78	5	3	24	0	1.78	22	17	+5	+0.36	-0.37	Matches
4	Yaw Ackah	gh GHA	MF	Kayserispor	26-345	1999	3	184	61	6.2	2.0	2	77	0	1	31	0	0.67	1	3	-2	-0.98	+0.12	Matches
5	Emmanuel Agbadou	ci CIV	DF	Beşiktaş	28-329	1997	12	1,001	83	33.7	11.1	11	90	11	1	11	1	1.67	16	11	+5	+0.45	-0.19	Matches
6	Dan Agyei	gh GHA	MF,FW	Kocaelispor	28-345	1997	30	2,052	68	69.1	22.8	22	85	8	8	24	1	1.10	20	24	-4	-0.18	+0.51	Matches
7	Youssef Aït Bennasser	ma MAR	MF,DF	Kayserispor	29-309	1996	21	1,468	70	49.4	16.3	19	74	9	2	32	0	0.95	8	28	-20	-1.23	-0.27	Matches
8	Samet Akaydın	tr TUR	DF	Rizespor	32-060	1994	29	2,566	88	86.4	28.5	29	88	24	0		0	1.28	38	41	-3	-0.11	+0.56	Matches
9	Emre Akbaba	tr TUR	MF,FW	Eyüpspor	33-220	1992	22	987	45	33.2	11.0	10	75	3	12	20	2	1.05	9	17	-8	-0.73	-0.41	Matches
10	Mehmet Akbal		MF	Gençlerbirliği	18-269	2007	0					0		0	0		1							Matches
11	Halil Akbunar	tr TUR	MF,FW	Eyüpspor	32-184	1993	12	507	42	17.1	5.6	6	57	0	6	27	3	0.67	4	10	-6	-1.07	-0.74	Matches
12	Yusuf Akçiçek	tr TUR	DF	Fenerbahçe	20-107	2006	1	90	90	3.0	1.0	1	90	1	0		0	1.00	0	0	0	0.00	-1.25	Matches
13	Ümit Akdag	ro ROU	DF	Alanyaspor	22-218	2003	30	2,621	87	88.2	29.1	30	87	26	0		0	1.07	33	36	-3	-0.10	-1.13	Matches
14	Cihan Akgün		DF	Galatasaray	16-285	2009	0					0		0	0		2							Matches
15	Tuğbey Akgün	tr TUR	MF	Fatih Karagümrük	23-033	2003	1	5	5	0.2	0.1	0		0	1	5	2	0.00	0	0	0	0.00	+0.73	Matches
16	Yunus Akgün	tr TUR	MF	Galatasaray	25-309	2000	28	1,813	65	61.0	20.1	23	76	7	5	11	2	2.32	50	16	+34	+1.69	+0.60	Matches
17	Gökhan Akkan	tr TUR	GK	Gençlerbirliği	31-131	1995	4	360	90	12.1	4.0	4	90	4	0		5	0.00	3	8	-5	-1.25	-0.94	Matches
18	Hamza Akman	tr TUR	MF	Eyüpspor	21-227	2004	0					0		0	0		4							Matches
19	Muhammet Akmelek		FW	Gaziantep FK	16-340	2009	1	13	13	0.4	0.1	0		0	1	13	10	0.00	0	1	-1	-6.92	-6.53	Matches
20	Fatih Aksoy	tr TUR	DF,MF	Alanyaspor	28-187	1997	18	840	47	28.3	9.3	9	85	7	9	9	14	1.26	11	15	-4	-0.43	-0.64	Matches
21	Adnan Aktas		DF	Kasımpaşa	19-183	2006	0					0		0	0		1							Matches
22	Kerem Aktürkoğlu	tr TUR	MF,FW	Fenerbahçe	27-203	1998	28	1,860	66	62.6	20.7	23	74	7	5	32	1	2.29	51	25	+26	+1.26	+0.12	Matches
23	Kaan Akyazi		FW	Konyaspor	20-258	2005	5	25	5	0.8	0.3	0		0	5	5	8	0.20	1	0	+1	+3.60	+3.81	Matches
24	Ufuk Akyol	de GER	MF	Konyaspor	28-258	1997	1	2	2	0.1	0.0	0		0	1	2	1	1.00	0	0	0	0.00	+0.18	Matches
25	Enes Albak	tr TUR	DF	Samsunspor	20-361	2005	2	6	3	0.2	0.1	0		0	2	3	11	1.50	1	2	-1	-15.00	-14.97	Matches
Rk	Player	Nation	Pos	Squad	Age	Born	MP	Min	Mn/MP	Min%	90s	Starts	Mn/Start	Compl	Subs	Mn/Sub	unSub	PPM	onG	onGA	+/-	+/-90	On-Off	Matches
26	Ege Albayrak		GK	Kasımpaşa	18-265	2007	0					0		0	0		1							Matches
27	Danijel Aleksić	rs SRB	MF	Konyaspor	35-012	1991	3	195	65	6.6	2.2	3	65	0	0		0	2.33	5	2	+3	+1.38	+1.68	Matches
28	Doğan Alemdar	tr TUR	GK	Başakşehir	23-195	2002	0					0		0	0		27							Matches
29	Ömer Ali Şahiner	tr TUR	DF	Başakşehir	34-130	1992	25	1,756	70	59.1	19.5	21	77	11	4	35	3	1.64	35	23	+12	+0.62	-0.13	Matches
30	Xusniddin Aliqulov	uz UZB	DF	Rizespor	27-038	1999	7	426	61	14.3	4.7	5	83	2	2	6	6	0.86	3	7	-4	-0.85	-0.77	Matches
31	Fidan Aliti	xk KVX	DF	Alanyaspor	32-221	1993	29	2,582	89	86.9	28.7	29	89	27	0		0	1.28	37	30	+7	+0.24	+1.64	Matches
32	İbrahim Alkış		GK	Gaziantep FK	20-131	2006	0					0		0	0		1							Matches
33	Jim Allevinah	ga GAB	MF	Kasımpaşa	31-074	1995	8	248	31	8.4	2.8	3	64	0	5	11	2	0.88	3	8	-5	-1.81	-1.42	Matches
34	Barış Alper Yılmaz	tr TUR	MF,FW	Galatasaray	25-354	2000	30	2,306	77	77.6	25.6	27	82	12	3	35	0	2.27	54	26	+28	+1.09	-1.62	Matches
35	Taha Altıkardeş	tr TUR	DF	Göztepe	22-263	2003	27	1,298	48	43.7	14.4	14	85	11	13	8	6	1.70	18	12	+6	+0.42	+0.04	Matches
36	Metehan Altunbaş	tr TUR	MF,FW	Eyüpspor	23-125	2003	17	939	55	31.6	10.4	11	76	1	6	18	6	1.18	16	12	+4	+0.38	+1.23	Matches
37	Edson Álvarez	mx MEX	MF	Fenerbahçe	28-200	1997	12	762	64	25.7	8.5	10	76	4	2	1	0	2.50	20	8	+12	+1.42	+0.28	Matches
38	Michael Amir Murillo	pa PAN	DF	Beşiktaş	30-090	1996	11	868	79	29.2	9.6	10	86	9	1	13	1	1.73	18	10	+8	+0.83	+0.36	Matches
39	Sofyan Amrabat	ma MAR	MF	Fenerbahçe	29-264	1996	2	97	49	3.3	1.1	1	90	1	1	7	1	2.00	0	0	0	0.00	-1.25	Matches
40	Charles André Raux	fr FRA	MF	Eyüpspor	24-178	2001	15	503	34	16.9	5.6	5	71	0	10	15	1	1.20	11	5	+6	+1.07	+1.84	Matches
41	Yhoan Andzouana	cg CGO	DF,MF	Konyaspor	29-150	1996	30	2,525	84	85.0	28.1	28	89	26	2	19	0	1.13	32	44	-12	-0.43	-1.64	Matches
42	Seyfettin Anıl Yaşar	tr TUR	DF	Eyüpspor	23-315	2002	5	355	71	12.0	3.9	4	85	2	1	14	5	0.60	3	7	-4	-1.01	-0.64	Matches
43	Seyfettin Anıl Yaşar	tr TUR	DF	Rizespor	23-315	2002	0					0		0	0		2							Matches
44	Taylan Antalyalı	tr TUR	MF	Rizespor	31-124	1995	27	1,216	45	40.9	13.5	14	75	4	13	13	3	1.33	20	21	-1	-0.07	+0.18	Matches
45	Alexis Antunes	ch SUI	MF	Göztepe	25-285	2000	12	616	51	20.7	6.8	7	68	0	5	28	0	1.25	10	8	+2	+0.29	-0.13	Matches
46	Aaron Appindangoyé	ga GAB	DF	Kocaelispor	34-081	1992	4	315	79	10.6	3.5	4	79	3	0		0	0.25	1	5	-4	-1.14	-0.91	Matches
47	Ege Araç	tr TUR	MF	Galatasaray	19-073	2007	0					0		0	0		1							Matches
48	Kagan Arican	tr TUR	GK	Antalyaspor	20-063	2006	0					0		0	0		12							Matches
49	Adam Arous	tn TUN	DF	Kasımpaşa	21-299	2004	20	1,580	79	53.2	17.6	18	87	15	2	6	8	1.15	18	26	-8	-0.46	+0.13	Matches
50	Keny Arroyo	ec ECU	MF	Beşiktaş	20-087	2006	0					0		0	0		1							Matches
Rk	Player	Nation	Pos	Squad	Age	Born	MP	Min	Mn/MP	Min%	90s	Starts	Mn/Start	Compl	Subs	Mn/Sub	unSub	PPM	onG	onGA	+/-	+/-90	On-Off	Matches
51	Marco Asensio	es ESP	MF	Fenerbahçe	30-111	1996	25	1,871	75	63.0	20.8	22	82	12	3	21	2	2.32	48	22	+26	+1.25	+0.10	Matches
52	Berkay Aslan	tr TUR	MF	Başakşehir	19-127	2007	0					0		0	0		3							Matches
53	Cemilhan Aslan		GK	Gaziantep FK	18-005	2008	0					0		0	0		5							Matches
54	Kristjan Asllani	al ALB	MF	Beşiktaş	24-064	2002	13	812	62	27.3	9.0	10	78	3	3	10	0	1.92	16	7	+9	+1.00	+0.58	Matches
55	Yaser Asprilla	co COL	MF	Galatasaray	22-174	2003	7	159	23	5.4	1.8	1	62	0	6	16	1	2.14	6	3	+3	+1.70	+0.26	Matches
56	Kouadou Assoumou	fr FRA	MF,FW	Samsunspor	23-207	2002	6	366	61	12.3	4.1	5	67	1	1	31	0	1.00	1	2	-1	-0.25	-0.21	Matches
57	Felipe Augusto	br BRA	MF,FW	Trabzonspor	22-083	2004	31	2,120	68	71.4	23.6	25	77	5	6	34	2	2.03	45	24	+21	+0.89	+0.47	Matches
58	Loide Augusto	ao ANG	MF,FW	Rizespor	26-075	2000	20	1,126	56	37.9	12.5	14	71	2	6	21	2	1.45	17	12	+5	+0.40	+0.94	Matches
59	Yakup Ayan			Rizespor	18-019	2008	0					0		0	0		6							Matches
60	Furkan Ayaz			Gençlerbirliği	16-223	2009	3	20	7	0.7	0.2	0		0	3	7	15	1.00	1	0	+1	+4.50	+4.96	Matches
61	Yiğit Aydar		DF	Gençlerbirliği	17-234	2008	0					0		0	0		5							Matches
62	Ebrar Aydın		GK	Gençlerbirliği	25-224	2000	0					0		0	0		4							Matches
63	Egemen Aydın	tr TUR	GK	Konyaspor	19-000	2007	0					0		0	0		2							Matches
64	Eyüp Aydın	tr TUR	MF	Samsunspor	21-283	2004	6	326	54	11.0	3.6	4	62	0	2	40	5	0.83	3	7	-4	-1.10	-1.17	Matches
65	Eyüp Aydın	tr TUR	MF	Kasımpaşa	21-283	2004	4	76	19	2.6	0.8	0		0	4	19	8	0.75	0	4	-4	-4.74	-4.33	Matches
66	Oğuz Aydın	tr TUR	MF,DF	Fenerbahçe	25-197	2000	20	561	28	18.9	6.2	4	75	1	16	16	13	2.25	17	5	+12	+1.93	+0.88	Matches
67	Taylan Aydın	tr TUR	DF	Kasımpaşa	20-091	2006	2	8	4	0.3	0.1	0		0	2	4	26	1.00	1	1	0	0.00	+0.52	Matches
68	Deni̇z Aydoğdu		MF	Eyüpspor	18-083	2008	0					0		0	0		1							Matches
69	Soner Aydoğdu	tr TUR	MF	Samsunspor	35-127	1991	8	105	13	3.5	1.2	0		0	8	13	3	1.25	2	3	-1	-0.86	-0.83	Matches
70	Kaan Ayhan	tr TUR	DF	Galatasaray	31-183	1994	18	304	17	10.2	3.4	1	90	1	17	13	11	2.72	12	2	+10	+2.96	+1.68	Matches
71	Ousseynou Ba	sn SEN	DF	Başakşehir	30-182	1995	16	1,004	63	33.8	11.2	9	90	8	7	28	12	1.38	15	14	+1	+0.09	-0.87	Matches
72	Mame Baba Thiam	sn SEN	FW,MF	Eyüpspor	33-215	1992	14	1,178	84	39.7	13.1	13	87	8	1	45	0	0.79	7	17	-10	-0.76	-0.51	Matches
73	Volkan Babacan	tr TUR	GK	Başakşehir	37-274	1988	0					0		0	0		6							Matches
74	Shavy Babicka	ga GAB	MF,FW	Fatih Karagümrük	25-345	2000	14	829	59	27.9	9.2	10	71	1	4	31	0	1.29	9	11	-2	-0.22	+0.71	Matches
75	Juninho Bacuna	cw CUW	MF	Gaziantep FK	28-278	1997	9	219	24	7.4	2.4	2	73	1	7	11	8	1.56	1	7	-6	-2.47	-2.20	Matches
Rk	Player	Nation	Pos	Squad	Age	Born	MP	Min	Mn/MP	Min%	90s	Starts	Mn/Start	Compl	Subs	Mn/Sub	unSub	PPM	onG	onGA	+/-	+/-90	On-Off	Matches
76	Bünyamin Balcı	tr TUR	DF	Antalyaspor	25-346	2000	32	2,259	71	76.1	25.1	24	84	14	8	31	0	0.81	23	40	-17	-0.68	+0.08	Matches
77	Jure Balkovec	si SVN	DF	Fatih Karagümrük	31-245	1994	17	1,511	89	50.9	16.8	17	89	14	0		0	0.47	14	32	-18	-1.07	-0.70	Matches
78	Samuel Ballet	ch SUI	MF,FW	Antalyaspor	25-061	2001	23	1,631	71	54.9	18.1	16	86	10	7	37	2	0.83	18	34	-16	-0.88	-0.41	Matches
79	Botond Balogh	hu HUN	DF	Kocaelispor	23-340	2002	21	1,657	79	55.8	18.4	18	87	15	3	32	1	1.24	14	23	-9	-0.49	-0.35	Matches
80	Çağrı Balta		FW	Galatasaray	17-362	2008	0					0		0	0		2							Matches
81	Metehan Baltacı	tr TUR	DF	Galatasaray	23-190	2002	2	26	13	0.9	0.3	0		0	2	13	10	3.00	2	0	+2	+6.92	+5.52	Matches
82	Rayyan Baniya		DF	Trabzonspor	27-083	1999	6	218	36	7.3	2.4	1	90	1	5	26	7	1.50	2	1	+1	+0.41	-0.37	Matches
83	Rayyan Baniya		DF	Konyaspor	27-083	1999	2	40	20	1.3	0.4	0		0	2	20	3	0.00	1	1	0	0.00	+0.18	Matches
84	Yusuf Barasi	tr TUR	MF	Kasımpaşa	23-042	2003	8	275	34	9.3	3.1	3	66	0	5	15	12	0.25	1	6	-5	-1.64	-1.24	Matches
85	Abdülkerim Bardakcı	tr TUR	DF	Galatasaray	31-247	1994	30	2,541	85	85.6	28.2	30	85	24	0		1	2.27	65	23	+42	+1.49	+0.23	Matches
86	Enis Bardhi	mk MKD	MF	Konyaspor	30-314	1995	32	2,052	64	69.1	22.8	23	77	3	9	31	0	1.22	35	36	-1	-0.04	+0.45	Matches
87	Boran Başkan	tr TUR	MF	Trabzonspor	20-044	2006	2	3	2	0.1	0.0	0		0	2	2	6	3.00	0	2	-2	-60.00	-60.82	Matches
88	Onur Başyiğit		DF	Gaziantep FK	21-334	2004	0					0		0	0		3							Matches
89	Arsenii Batahov	ua UKR	DF	Trabzonspor	24-068	2002	24	2,115	88	71.2	23.5	24	88	23	0		0	2.21	49	28	+21	+0.89	+0.47	Matches
90	Bilal Bayazit	nl NED	GK	Kayserispor	27-034	1999	28	2,520	90	84.8	28.0	28	90	28	0		3	0.82	18	49	-31	-1.11	-0.11	Matches
91	Furkan Bayır	tr TUR	DF	Göztepe	26-092	2000	9	338	38	11.4	3.8	4	79	3	5	5	12	1.89	6	3	+3	+0.80	+0.46	Matches
92	Ogün Bayrak		MF,DF	Göztepe	27-214	1998	15	549	37	18.5	6.1	7	68	2	8	9	10	1.53	6	7	-1	-0.16	-0.68	Matches
93	Riechedly Bazoer	cw CUW	DF	Konyaspor	29-212	1996	14	838	60	28.2	9.3	9	84	3	5	17	9	1.43	15	17	-2	-0.21	-0.05	Matches
94	Rodrigo Becão	br BRA	DF	Fenerbahçe	30-113	1996	1	7	7	0.2	0.1	0		0	1	7	9	3.00	1	0	+1	+12.86	+11.67	Matches
95	Rodrigo Becão	br BRA	DF	Kasımpaşa	30-113	1996	12	1,022	85	34.4	11.4	12	85	10	0		0	0.92	15	20	-5	-0.44	+0.11	Matches
96	Efkan Bekiroğlu		MF	Göztepe	30-240	1995	25	1,062	42	35.8	11.8	14	66	0	11	12	2	1.72	17	11	+6	+0.51	+0.18	Matches
97	Furkan Bekleviç	tr TUR	GK	Fatih Karagümrük	27-101	1999	1	90	90	3.0	1.0	1	90	1	0		27	3.00	1	0	+1	+1.00	+1.78	Matches
98	Mortadha Ben Ouanes	tn TUN	MF	Kasımpaşa	31-314	1994	27	2,261	84	76.1	25.1	26	87	17	1	4	0	1.11	28	30	-2	-0.08	+1.82	Matches
99	Adrian Benedyczak	pl POL	FW,MF	Kasımpaşa	25-169	2000	13	1,066	82	35.9	11.8	13	82	3	0		0	1.23	17	17	0	0.00	+0.80	Matches
100	László Bénes	sk SVK	MF	Kayserispor	28-245	1997	31	2,487	80	83.7	27.6	28	86	21	3	30	0	0.77	21	47	-26	-0.94	+0.92	Matches
Rk	Player	Nation	Pos	Squad	Age	Born	MP	Min	Mn/MP	Min%	90s	Starts	Mn/Start	Compl	Subs	Mn/Sub	unSub	PPM	onG	onGA	+/-	+/-90	On-Off	Matches
101	El Bilal Touré	ml MLI	MF,FW	Beşiktaş	24-221	2001	21	1,557	74	52.4	17.3	18	82	14	3	28	0	1.62	26	23	+3	+0.17	-0.85	Matches
102	Emre Bilgin	tr TUR	GK	Beşiktaş	22-075	2004	0					0		0	0		10							Matches
103	Ege Bilim			Kocaelispor	20-028	2006	0					0		0	0		6							Matches
104	Tayfur Bingöl	tr TUR	MF,FW	Kocaelispor	33-121	1993	29	2,076	72	69.9	23.1	23	81	10	6	37	0	1.28	18	22	-4	-0.17	+0.53	Matches
105	Davide Biraschi	it ITA	DF	Fatih Karagümrük	31-314	1994	13	1,054	81	35.5	11.7	13	81	11	0		0	1.15	10	15	-5	-0.43	+0.47	Matches
106	Engin Biterge		GK	Fenerbahçe	19-110	2007	0					0		0	0		3							Matches
107	Morten Bjørlo	no NOR	MF	Konyaspor	30-220	1995	28	1,335	48	44.9	14.8	14	76	7	14	19	4	1.29	20	22	-2	-0.13	+0.09	Matches
108	Emmanuel Boateng	gh GHA	FW	Gaziantep FK	29-354	1996	11	472	43	15.9	5.2	4	87	3	7	18	2	1.00	4	14	-10	-1.91	-1.76	Matches
109	Sacha Boey	fr FRA	DF	Galatasaray	25-241	2000	10	484	48	16.3	5.4	5	79	2	5	18	3	2.20	12	5	+7	+1.30	-0.18	Matches
110	Malcom Bokélé	cm CMR	DF	Göztepe	26-089	2000	29	2,558	88	86.1	28.4	29	88	25	0		0	1.72	39	23	+16	+0.56	+1.22	Matches
111	Yohan Boli	ci CIV	FW	Antalyaspor	32-176	1993	20	859	43	28.9	9.5	8	90	7	12	12	9	0.75	7	20	-13	-1.36	-0.94	Matches
112	Toni Borevkovic	hr CRO	DF	Samsunspor	28-328	1997	18	1,139	63	38.4	12.7	10	90	10	8	30	12	1.33	15	21	-6	-0.47	-0.67	Matches
113	Arif Boşluk		DF	Trabzonspor	22-340	2003	13	370	28	12.5	4.1	2	77	1	11	20	4	1.92	7	10	-3	-0.73	-1.70	Matches
114	Arif Boşluk		DF	Konyaspor	22-340	2003	11	682	62	23.0	7.6	8	80	3	3	15	5	1.36	8	11	-3	-0.40	-0.28	Matches
115	Melih Bostan	tr TUR	FW	Konyaspor	22-034	2004	10	120	12	4.0	1.3	0		0	10	12	8	0.60	2	2	0	0.00	+0.19	Matches
116	Salem Bouajila	fi FIN	FW	Göztepe	18-284	2007	4	17	4	0.6	0.2	0		0	4	4	5	0.75	0	1	-1	-5.29	-5.72	Matches
117	Benjamin Bouchouari	ma MAR	MF	Trabzonspor	24-180	2001	16	530	33	17.8	5.9	5	73	2	11	15	5	2.00	12	9	+3	+0.51	-0.30	Matches
118	Umut Bozok	tr TUR	FW	Eyüpspor	29-235	1996	31	2,012	65	67.7	22.4	22	85	14	9	15	1	1.00	24	29	-5	-0.22	+0.72	Matches
119	Joshua Brenet	cw CUW	DF,MF	Kayserispor	32-053	1994	10	708	71	23.8	7.9	8	83	7	2	23	3	0.80	5	11	-6	-0.76	+0.43	Matches
120	Ivan Brnić	hr CRO	MF	Başakşehir	24-262	2001	27	914	34	30.8	10.2	7	66	2	20	23	6	1.78	19	9	+10	+0.98	+0.46	Matches
121	Archie Brown	eng ENG	DF,MF	Fenerbahçe	23-349	2002	24	1,471	61	49.5	16.3	16	81	9	8	23	2	2.17	35	12	+23	+1.41	+0.39	Matches
122	İsmail Buğa		MF	Konyaspor	19-277	2006	3	24	8	0.8	0.3	0		0	3	8	9	0.33	1	0	+1	+3.75	+3.96	Matches
123	Ensar Bugra Tivsiz	tr TUR	DF	Antalyaspor	18-335	2007	0					0		0	0		9							Matches
124	Tahsin Bülbül		MF	Samsunspor	19-337	2006	3	84	28	2.8	0.9	1	64	0	2	10	5	1.00	1	1	0	0.00	+0.06	Matches
125	Kuzey Bulgulu			Gaziantep FK	17-170	2008	0					0		0	0		4							Matches
Rk	Player	Nation	Pos	Squad	Age	Born	MP	Min	Mn/MP	Min%	90s	Starts	Mn/Start	Compl	Subs	Mn/Sub	unSub	PPM	onG	onGA	+/-	+/-90	On-Off	Matches
126	Muhamed Buljubasic	ba BIH	MF	Rizespor	21-312	2004	22	791	36	26.6	8.8	7	79	2	15	16	11	1.32	14	14	0	0.00	+0.25	Matches
127	Buluthan Bulut		MF	Alanyaspor	23-295	2002	0					0		0	0		4							Matches
128	Emrecan Bulut		MF,FW	Rizespor	24-106	2002	18	585	33	19.7	6.5	6	66	1	12	16	13	0.83	11	12	-1	-0.15	+0.03	Matches
129	Onur Bulut	tr TUR	DF	Başakşehir	32-026	1994	17	969	57	32.6	10.8	9	81	7	8	30	12	1.88	21	11	+10	+0.93	+0.39	Matches
130	Taylan Bulut	de GER	DF	Beşiktaş	20-113	2006	7	445	64	15.0	4.9	5	88	4	2	4	13	2.14	8	2	+6	+1.21	+0.75	Matches
131	Abdulsamet Burak		DF	Kayserispor	29-364	1996	8	375	47	12.6	4.2	5	63	0	3	21	4	1.00	0	7	-7	-1.68	-0.67	Matches
132	Mustafa Burak Bozan		GK	Gaziantep FK	25-262	2000	13	1,143	88	38.5	12.7	13	88	12	0		17	1.62	21	22	-1	-0.08	+0.56	Matches
133	Cafú	pt POR	MF	Kasımpaşa	33-075	1993	24	1,236	52	41.6	13.7	14	73	5	10	21	1	1.00	15	22	-7	-0.51	+0.01	Matches
134	Arda Çağan Çelik		FW	Gençlerbirliği	21-044	2005	0					0		0	0		7							Matches
135	Oğulcan Çağlayan	tr TUR	FW	Kocaelispor	30-051	1996	4	196	49	6.6	2.2	2	54	0	2	45	0	0.25	1	2	-1	-0.46	-0.13	Matches
136	Uğurcan Çakır	tr TUR	GK	Galatasaray	30-037	1996	25	2,250	90	75.8	25.0	25	90	25	0		1	2.24	53	21	+32	+1.28	-0.72	Matches
137	Uğurcan Çakır	tr TUR	GK	Trabzonspor	30-037	1996	4	360	90	12.1	4.0	4	90	4	0		0	2.50	4	1	+3	+0.75	-0.01	Matches
138	Onuralp Çakiroğlu	tr TUR	FW	Trabzonspor	18-158	2007	1	1	1	0.0	0.0	0		0	1	1	17	3.00	0	0	0	0.00	-0.76	Matches
139	Lucas Calegari	br BRA	DF,MF	Eyüpspor	24-074	2002	21	1,528	73	51.4	17.0	18	83	9	3	13	2	0.95	16	14	+2	+0.12	+1.18	Matches
140	Josip Čalušić	hr CRO	DF	Konyaspor	32-213	1993	8	298	37	10.0	3.3	2	83	1	6	22	9	1.13	2	11	-9	-2.72	-2.82	Matches
141	João Pedro Gomes Camacho	pt POR	MF	Fatih Karagümrük	31-323	1994	8	319	40	10.7	3.5	3	49	0	5	34	0	0.50	2	10	-8	-2.26	-1.71	Matches
142	Drissa Camara	ci CIV	MF	Gaziantep FK	24-083	2002	26	1,732	67	58.3	19.2	21	77	7	5	21	0	1.15	26	31	-5	-0.26	+0.39	Matches
143	İrfan Can Eğribayat	tr TUR	GK	Samsunspor	27-316	1998	3	270	90	9.1	3.0	3	90	3	0		7	2.00	6	6	0	0.00	+0.07	Matches
144	İrfan Can Eğribayat	tr TUR	GK	Fenerbahçe	27-316	1998	3	270	90	9.1	3.0	3	90	3	0		8	1.67	5	3	+2	+0.67	-0.60	Matches
